,No.,Activity / Attraction,Category,Postcode,District/Borough,City,Latitude,Longitude,Cat1,Cat2,Popularity
155,156,Captain Noel Chavasse,historic:memorial,OX4 1DZ,East Oxford,Oxford,51.7497936,-1.2447401,historic,memorial,2
156,157,James Sadler,historic:memorial,OX1 4JD,City Centre,Oxford,51.7507756,-1.2493924,historic,memorial,1
157,158,Oxford Park & Ride,historic:memorial,OX1 4XG,South Oxford,Oxford,51.7296575,-1.2486945,historic,memorial,1
158,159,Callaghan Library,amenity:library,OX3 9BY,Headington,Oxford,51.7661726,-1.2147328,amenity,library,2
159,160,Ark-T @ Templar Square,amenity:arts_centre,OX4 3XH,Cowley,Oxford,51.7318753,-1.2167776,amenity,arts_centre,5
160,161,Card Factory,shop:gift,OX4 3XX,Cowley,Oxford,51.7319804,-1.217148,shop,gift,4
161,162,Osney Lock,tourism:information,OX2 0BE,Osney,Oxford,51.7496098,-1.2724716,tourism,information,4
162,163,Thames Path,tourism:information,OX2 0BE,Osney,Oxford,51.7496229,-1.2724752,tourism,information,2
163,164,Banjo Enclosure,historic:archaeological_site,OX4 4NZ,Littlemore,Oxford,51.7194183,-1.2310083,historic,archaeological_site,3
164,165,TK Maxx,shop:department_store,OX1 1NZ,City Centre,Oxford,51.7500373,-1.2608989,shop,department_store,3
165,166,Stone of Remembrance,historic:memorial,OX2 0LB,Botley,Vale of White Horse,51.7503055,-1.2932886,historic,memorial,5
166,167,Elisabeth Rawson,historic:memorial,OX1 4JF,City Centre,Oxford,51.7503941,-1.2530224,historic,memorial,2
167,168,George Best,historic:memorial,OX1 4JF,City Centre,Oxford,51.7504645,-1.2533333,historic,memorial,3
168,169,Wizard's Emporium,shop:gift,OX1 3JE,City Centre,Oxford,51.752452,-1.2581722,shop,gift,4
169,170,Barton Library,amenity:library,OX3 9LS,Barton,Oxford,51.7678495,-1.1964811,amenity,library,1
170,171,Gallery Bouldering,leisure:sports_centre,OX4 1LF,East Oxford,Oxford,51.7474718,-1.2401007,leisure,sports_centre,2
171,172,St Clement's WW1 Memorial Cross,historic:memorial,OX3 0ED,Headington,Oxford,51.752997,-1.2370791,historic,memorial,5
172,173,1860 Oxford Evolution Debate,historic:memorial,OX1 3PR,City Centre,Oxford,51.7585681,-1.2560688,historic,memorial,1
173,174,Oxford Bus Company Travel Shop & Lounge,tourism:information,OX1 2BU,City Centre,Oxford,51.7539314,-1.2622834,tourism,information,1
174,175,Levellers Memorial,historic:memorial,OX1 2DF,City Centre,Oxford,51.754091,-1.2612978,historic,memorial,1
175,176,Wycliffe Hall Library,amenity:library,OX2 6PW,North Oxford,Oxford,51.7626155,-1.2600927,amenity,library,3
176,177,Jewish Cemetery,historic:memorial,OX1 4AU,City Centre,Oxford,51.751433,-1.2472969,historic,memorial,2
177,178,Tourist Information,tourism:information,OX1 3BS,City Centre,Oxford,51.7541458,-1.2573677,tourism,information,3
178,179,Leopold Muller Memorial Library,amenity:library,OX1 2HG,City Centre,Oxford,51.7565797,-1.2630285,amenity,library,4
179,180,"8, 10 & 10 Turn Again Lane",historic:memorial,OX1 1QL,City Centre,Oxford,51.7498639,-1.259992,historic,memorial,1
180,181,Vere Harmsworth Library,amenity:library,OX1 3UB,City Centre,Oxford,51.7575924,-1.2538978,amenity,library,3
181,182,Sainsbury Library,amenity:library,OX1 1HP,City Centre,Oxford,51.7532813,-1.2683081,amenity,library,4
182,183,Oxford Experience,shop:gift,OX1 4AG,City Centre,Oxford,51.7521863,-1.2570245,shop,gift,4
183,184,Welcome to the Oxford Canal,tourism:information,OX1 2EZ,City Centre,Oxford,51.7535409,-1.2651792,tourism,information,5
184,185,Roger Bannister World Record Mile,historic:memorial,OX4 1EQ,East Oxford,Oxford,51.7465155,-1.241143,historic,memorial,3
